cdr_id,billed_amount
TXN_003407,27282.275432527265
TXN_000758,16402.46517176419
TXN_003625,26649.11774433818
TXN_004545,2625.1659196492524
TXN_003236,13610.636664117934
TXN_001869,59034.87717450684
TXN_002917,113525.60101201737
TXN_003336,907.7908835853588
TXN_003528,28462.49565173642
TXN_002828,6755.209033732492
TXN_004393,20330.32618260155
TXN_003485,13177.57301391944
TXN_002962,45737.52211581628
TXN_003216,40197.411116488875
TXN_004302,139617.07666653165
TXN_000616,18767.814575661207
TXN_000641,45406.34207296929
TXN_003709,22922.57487788753
TXN_002367,37862.742793980644
TXN_002756,21749.285899010556
TXN_002319,58850.405380132055
TXN_004172,41585.17187372142
TXN_004761,35360.20520419457
TXN_002191,26621.98813810009
TXN_004715,140357.92114202026
TXN_002868,15704.60779565409
TXN_003732,24079.306182831308
TXN_000471,6005.4674620020405
TXN_002531,120881.86561320232
TXN_002212,64087.09599527834
TXN_000626,1231.9090585071053
TXN_004203,30921.238463483696
TXN_004820,20291.027857320234
TXN_001875,124938.88646763921
TXN_004576,44427.1636719476
TXN_002062,111808.14236248523
TXN_003692,49869.187284349966
TXN_002289,124859.03365806025
TXN_004127,94384.75871387366
TXN_000371,44687.750022069515
TXN_004399,37784.91777579663
TXN_003245,82979.20502236602
TXN_001219,25706.950957475412
TXN_003504,103967.33781828772
TXN_003558,134596.03902012896
TXN_000276,2742.2196051697506
TXN_004551,4068.1378504562467
TXN_003071,11690.852421304548
TXN_000196,78311.68702171958
TXN_003779,34184.88588394106
TXN_002262,1100.18912061913
TXN_004338,24372.68862630045
TXN_001441,39477.207442910585
TXN_001126,16979.86418585446
TXN_000677,21437.932175042875
TXN_002606,3929.7370429782873
TXN_003019,78262.43041274657
TXN_003033,46798.483986724816
TXN_000162,80562.99846836374
TXN_002064,15715.487473279754
TXN_003691,1825.8162835753017
TXN_001842,8061.674056556953
TXN_004559,78344.08285228084
TXN_000079,13305.21816936118
TXN_001537,30342.565888400106
TXN_002765,49299.29860031967
TXN_002922,114794.75519012976
TXN_002173,14135.218822433486
TXN_004434,44756.885942678215
TXN_000568,23714.319679249078
TXN_001948,145477.6446683699
TXN_003384,77819.52001309796
TXN_001253,30480.672005329267
TXN_001983,876.0293718055065
TXN_000403,25203.665972112645
TXN_003894,77287.89100520514
TXN_004435,34983.9743433744
TXN_002317,26631.266374992538
TXN_000688,41064.47086068873
TXN_000460,41065.248919034726
TXN_000146,124266.79368767585
TXN_004759,19059.768271836445
TXN_002755,146687.71376975105
TXN_004139,39919.240329263404
TXN_004312,49926.19291077385
TXN_001570,76605.85772164886
TXN_001228,54214.1419016472
TXN_003789,21063.077740194378
TXN_002689,80637.54413076799
TXN_002037,5375.632676630904
TXN_001859,85622.35702149758
TXN_003491,27052.314630175963
TXN_003736,32958.793282923965
TXN_000005,22793.154582593324
TXN_004134,40435.23799935752
TXN_001273,1339.0680511519922
TXN_004636,32507.046839255607
TXN_001344,17881.335422398643
TXN_003987,120.8400956890772
TXN_000736,13971.750071300392
